"pitcher_id","pitcher_full_name","pitch_type","Pitches","xRV_Residual","Distortion","Selection","pitch_label"
670174,"Josh Winckowski","CH",108,-0.005,-0.001,-0.004,"Changeup"
670970,"Adrian Morejon","SI",469,-0.005,0,-0.005,"Sinker"
670990,"Yohan Ramírez","FF",192,-0.005,0,-0.005,"Four-Seam FB"
671106,"Logan Allen","SI",218,-0.005,0,-0.005,"Sinker"
672456,"Keider Montero","FF",477,-0.005,0,-0.004,"Four-Seam FB"
676106,"Emerson Hancock","FF",405,-0.005,0,-0.004,"Four-Seam FB"
676106,"Emerson Hancock","SI",400,-0.005,0,-0.005,"Sinker"
676282,"Joey Cantillo","FF",402,-0.005,0,-0.005,"Four-Seam FB"
676395,"Robert Garcia","FF",565,-0.005,0,-0.004,"Four-Seam FB"
676440,"Tanner Bibee","FF",1124,-0.005,0,-0.005,"Four-Seam FB"
676440,"Tanner Bibee","SI",192,-0.005,0,-0.005,"Sinker"
676680,"Tom Cosgrove","SI",102,-0.005,-0.001,-0.004,"Sinker"
676775,"Keaton Winn","FF",131,-0.005,0,-0.005,"Four-Seam FB"
676775,"Keaton Winn","SI",112,-0.005,0,-0.004,"Sinker"
677952,"Braxton Ashcraft","FF",155,-0.005,0,-0.005,"Four-Seam FB"
677958,"Kumar Rocker","SI",144,-0.005,0,-0.005,"Sinker"
678495,"Randy Rodríguez","FF",377,-0.005,0,-0.005,"Four-Seam FB"
680686,"Josiah Gray","SI",127,-0.005,0,-0.005,"Sinker"
680694,"Kyle Bradish","SI",295,-0.005,0,-0.005,"Sinker"
680732,"Sean Burke","FF",558,-0.005,0,-0.005,"Four-Seam FB"
681343,"Shane Smith","FF",528,-0.005,0,-0.005,"Four-Seam FB"
681402,"Gus Varland","FF",160,-0.005,0,-0.005,"Four-Seam FB"
681892,"Kody Funderburk","SI",113,-0.005,0,-0.005,"Sinker"
682120,"Tim Herrin","FF",195,-0.005,0,-0.004,"Four-Seam FB"
683175,"Connor Phillips","FF",171,-0.005,0,-0.005,"Four-Seam FB"
686580,"Justin Slaten","FF",206,-0.005,0,-0.005,"Four-Seam FB"
686642,"Fraser Ellard","FF",165,-0.005,0,-0.005,"Four-Seam FB"
687863,"Porter Hodge","FF",278,-0.005,0,-0.005,"Four-Seam FB"
688158,"David Morgan","FF",144,-0.005,0,-0.005,"Four-Seam FB"
690916,"Richard Fitts","FF",210,-0.005,0,-0.005,"Four-Seam FB"
690928,"Hunter Dobbins","FF",174,-0.005,0,-0.004,"Four-Seam FB"
693433,"Bryan Woo","FF",1373,-0.005,0,-0.005,"Four-Seam FB"
693821,"Bryce Elder","FF",260,-0.005,0,-0.005,"Four-Seam FB"
694363,"Jared Shuster","FF",298,-0.005,0,-0.005,"Four-Seam FB"
694819,"Jacob Misiorowski","FF",306,-0.005,0,-0.005,"Four-Seam FB"
695243,"Mason Miller","FF",649,-0.005,0,-0.005,"Four-Seam FB"
695505,"Chase Burns","FF",225,-0.005,0,-0.005,"Four-Seam FB"
696136,"Jordan Wicks","FF",315,-0.005,0,-0.005,"Four-Seam FB"
700241,"Michael McGreevy","FF",185,-0.005,0,-0.004,"Four-Seam FB"
700249,"Cade Povich","SI",141,-0.005,0,-0.005,"Sinker"
805123,"AJ Blubaugh","FF",119,-0.005,0,-0.005,"Four-Seam FB"
805673,"Zebby Matthews","FF",425,-0.005,0,-0.005,"Four-Seam FB"
450203,"Charlie Morton","FF",759,-0.004,0,-0.003,"Four-Seam FB"
453286,"Max Scherzer","FF",683,-0.004,0,-0.004,"Four-Seam FB"
